# Rental Management System - Rental Records
# Format: rentalId,memberId,costumeId,size,rentalDate,returnDate,actualReturnDate,totalCost,dailyRate,lateFee,status
R001,admin,C002,S,2025-07-04,2025-07-06,,148.50,49.50,9.90,OVERDUE
R002,admin,C002,S,2025-07-05,2025-07-07,,148.50,49.50,4.95,OVERDUE
R003,admin,C001,S,2025-07-05,2025-07-07,,165.00,55.00,5.50,OVERDUE
R004,admin,C002,S,2025-07-05,2025-07-14,,495.00,49.50,0.00,ACTIVE
R005,admin,C001,S,2025-07-05,2025-07-07,2025-07-08,165.00,55.00,5.50,RETURNED
R006,ICPC,C002,S,2025-07-08,2025-07-14,,346.50,49.50,0.00,ACTIVE
R007,ICPC,C002,S,2025-07-05,2025-07-07,,148.50,49.50,0.00,OVERDUE
R008,admin,C002,S,2025-07-15,2025-07-17,,148.50,49.50,0.00,RESERVED
R009,admin,C002,S,2025-07-08,2025-07-10,,148.50,49.50,0.00,ACTIVE
R010,admin,C004,S,2025-07-08,2025-07-10,,180.00,60.00,0.00,CANCELLED
R011,admin,C004,S,2025-07-08,2025-07-10,,180.00,60.00,0.00,CANCELLED
R012,admin,C004,S,2025-07-08,2025-07-10,,180.00,60.00,0.00,CANCELLED
R013,admin,C004,S,2025-07-08,2025-07-10,,180.00,60.00,0.00,CANCELLED
R014,admin,C004,S,2025-07-08,2025-07-10,,180.00,60.00,0.00,CANCELLED
R015,admin,C004,S,2025-07-08,2025-07-11,,240.00,60.00,0.00,CANCELLED
R016,admin,C001,S,2025-07-10,2025-07-12,,165.00,55.00,0.00,CANCELLED
R017,admin,C006,XL,2025-07-08,2025-07-10,,240.00,80.00,0.00,ACTIVE
R018,ICPC,C006,XL,2025-07-08,2025-07-10,,240.00,80.00,0.00,ACTIVE
